BKNG_ID,HOME_STATE,NATIONALITY,HOME_COUNTRY,AGE,NBR_CRUISES,GROUP_TYPE,BKNG_STATUS,BKNG_OPEN_DATE,BKNG_CANCEL_DATE,CURRENCY_CODE,AIR_FLAG,BKNG_SOURCE,BKNG_TYPE,GENDER,DINING_TIME_CODE,DINING_TIME_CONF_FLAG,INSURANCE_PYMT_DATE,META,NET_TKT_REV,SAIL_DATE
1,CA,US,US,69,0,,B,7/18/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,131.83,7/28/2012
2,IL,US,US,47,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,O,165.08,7/28/2012
3,GA,US,US,25,0,F,B,12/28/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,I,138.08,7/28/2012
4,,US,,51,0,,C,6/9/2012,6/10/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,0,7/28/2012
5,ND,US,US,28,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,F,155.46,7/28/2012
6,OR,US,US,89,1,,B,4/9/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,4/12/2012,V,510.02,7/28/2012
7,IL,US,US,48,1,G,B,1/25/2012,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,246.08,7/28/2012
8,SD,US,US,50,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,V,166.22,7/28/2012
9,FL,US,US,55,0,G,B,12/5/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,S,282.08,7/28/2012
10,AZ,US,US,46,0,,B,12/15/2011,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,D,296.51,7/28/2012
11,NV,JP,US,48,0,,B,6/20/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,174.77,7/28/2012
12,,US,,0,0,K,C,7/6/2011,9/12/2011,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,S,269.86,7/28/2012
13,WA,US,US,69,1,Q,B,11/17/2011,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,52.3,7/28/2012
14,NV,US,US,84,0,,B,12/15/2011,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,141.68,7/28/2012
15,TX,US,US,82,0,F,B,12/28/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,I,138.08,7/28/2012
16,CA,US,US,39,0,,C,11/28/2011,11/30/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,230.51,7/28/2012
17,,US,,76,0,,C,3/9/2011,3/14/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,S,288.36,7/28/2012
18,,US,,0,0,,C,12/2/2011,12/7/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,S,316.3,7/28/2012
19,FL,US,US,62,0,,C,7/6/2012,7/7/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,147.11,7/28/2012
20,,US,,0,0,K,C,8/19/2011,9/19/2011,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,229.03,7/28/2012
21,CA,GB,US,59,0,,B,7/22/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,147.11,7/28/2012
22,CO,US,US,61,0,,B,6/20/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,147.11,7/28/2012
23,,US,,0,0,,C,6/28/2012,6/29/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
24,CA,US,US,52,0,G,B,12/8/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,V,229.13,7/28/2012
25,IL,US,US,78,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,161.96,7/28/2012
26,SD,US,US,76,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,I,129.04,7/28/2012
27,,US,,9,0,G,C,6/13/2012,6/18/2012,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,248.55,7/28/2012
28,OH,US,US,53,0,G,B,9/21/2011,12/31/1900,USD,N,DIRECT,GROUP,F,P,Y,5/11/2012,F,191.4,7/28/2012
29,FL,US,US,65,1,,B,6/11/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,6/11/2012,S,117.36,7/28/2012
30,TX,US,US,68,3,,C,2/14/2012,2/19/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,S,297.65,7/28/2012
31,NE,US,US,35,0,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,241.28,7/28/2012
32,GA,US,US,49,0,,B,6/25/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,6/26/2012,V,147.11,7/28/2012
33,,US,,0,0,G,C,12/2/2011,12/7/2011,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,I,127.39,7/28/2012
34,NSW,AU,AU,74,0,G,B,8/12/2011,12/31/1900,AUD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,302.89,7/28/2012
35,FL,US,US,65,1,G,B,8/27/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,231.93,7/28/2012
36,MI,US,US,50,0,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,237.99,7/28/2012
37,IL,US,US,30,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,O,140.02,7/28/2012
38,IL,US,US,63,7,G,B,12/30/2011,12/31/1900,USD,N,AGENCY,GROUP,M,1,Y,12/31/1900,S,258.36,7/28/2012
39,NY,US,US,85,2,,C,2/15/2012,2/20/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,252.17,7/28/2012
40,,US,,45,0,,C,1/10/2012,1/15/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,347.11,7/28/2012
41,MN,US,US,31,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,150.64,7/28/2012
42,,US,,15,0,,C,12/13/2011,12/18/2011,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,243.85,7/28/2012
43,,US,,41,0,I,C,3/8/2011,7/2/2012,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,O,110.89,7/28/2012
